voicing | detect | nashville | cost | C | B | V | K | F | start | home | occasional | rareForYou | firstEver | reasons
F/A | F/A | 1/3 | 0.6 | 0 | 0.75 | 0.40 | 0.00 | 1.15 | Common | Common | Common | Uncommon | Uncommon | 
C/G | C/G | 5/2 | 0.6 | 0 | 0.5 | 0.40 | 0.00 | 0.90 | Common | Common | Common | Uncommon | Uncommon | 
Dm | Dm | 6m | 0.1 | 0 | 0 | 0.15 | 0.00 | 0.15 | Common | Common | Common | Common | Uncommon | 
Bbmaj7 | Bbmaj7 | 4maj7 | 1.0 | 2 | 0 | 0.15 | 0.00 | 2.15 | Uncommon | Common | Uncommon | Uncommon | Rare | seventh colour
F | F | 1 | 0.0 | 0 | 0 | 0.40 | 0.00 | 0.40 | Common | Common | Common | Common | Uncommon | 
Fmaj7 | Fmaj7 | 1maj7 | 1.0 | 2 | 0 | 0.15 | 0.00 | 2.15 | Uncommon | Common | Uncommon | Uncommon | Rare | seventh colour
C/E | C/E | 5/7 | 0.6 | 0 | 0.75 | 0.40 | 0.00 | 1.15 | Common | Common | Common | Uncommon | Uncommon | 
Am7 | Am7 | 3m7 | 1.0 | 1.25 | 0 | 0.15 | 0.00 | 1.40 | Common | Common | Uncommon | Uncommon | Uncommon | 
Gm7 | Gm7 | 2m7 | 1.0 | 1.25 | 0 | 0.15 | 0.00 | 1.40 | Common | Common | Uncommon | Uncommon | Uncommon | 
C7 | C7 | 5^7 | 1.0 | 1.25 | 0 | 0.15 | 0.00 | 1.40 | Common | Common | Uncommon | Uncommon | Uncommon | 
Fadd9 | Fadd9 | 1add9 | 1.4 | 1.25 | 0 | 0.00 | 0.00 | 1.25 | Common | Common | Uncommon | Uncommon | Uncommon | 
Bb/C | Bb/C | 4/5 | 1.7 | 0 | 1.75 | 0.15 | 0.00 | 1.90 | Common | Common | Uncommon | Uncommon | Uncommon | foreign bass
